Página	Palabra	Significado
98	naïveté 	Ingenuidad 
98	bridge (juego)	es un juego de naipes de cuatro jugadores 
99	ciernes	en fase de elaboración o de formación, o sin haber madurado
100	impoluta	Que está completamente limpio o no tiene ninguna mancha.
100	ineluctable	incapaz de ser resistido o evitado;
102	leso	Que ha sido agraviado.
102	espurias	Que es falso, ilegítimo o no auténtico.
102	andanada	Conjunto de disparos que realizan los cañones o piezas de artillería de un barco al mismo tiempo.
103	pértiga	Vara larga, especialmente la que utilizan los atletas en las pruebas de salto con pértiga para darse impulso.
104	aporía	hace referencia a los razonamientos en los cuales surgen contradicciones o paradojas irresolubles
104	postrimerías	En la religión católica, las cuatro últimas etapas por las que ha de pasar el ser humano: muerte, juicio, infierno o gloria.
104	herejía	idea o conjunto de ideas religiosas contrarias a los dogmas de una doctrina religiosa que son rechazadas por las autoridades eclesiásticas, especialmente en la iglesia católica.
106	ignorabimus	desconocemos y desconoceremos
109	vericuetos	Camino estrecho, tortuoso, accidentado y generalmente alto por el que es difícil andar.
113	empero	Indica que lo que se expresa contradice las conclusiones que se esperarían de lo que se ha dicho anteriormente.
114	aspavientos	Demostración excesiva o exagerada de sensaciones o sentimientos.
115	impertérrito	Que no se altera, perturba o muestra emoción alguna ante una impresión o estímulo externo que normalmente producen turbación, desencadenan una emoción o inducen a determinada acción.
115	otear	Mirar hacia un lugar lejano desde una atalaya o lugar alto.
115	contrita	 Que siente tristeza y melancolía.
116	zafiedad	[persona] Que es inculto y no tiene finura.
117	entelequia	Cosa, persona o situación perfecta e ideal que solo existe en la imaginación.
118	trastabillante	Golpear involuntariamente con el pie contra un obstáculo o contra el suelo al ir caminando o corriendo, de modo que se pierde el equilibrio.
121	asidero	Parte por donde se ase o agarra una cosa.
122	émbolo	Pieza de una bomba o del cilindro de un motor que se mueve hacia arriba o hacia abajo impulsando un fluido o bien recibiendo el impulso de él.
122	funestos	Que es origen de tristezas o de desgracias.
126	alocución	Discurso, generalmente breve, que pronuncia una autoridad o que dirige un jefe o superior a sus subordinados con ocasión de un acontecimiento especial.
126	zarzas	Arbusto sarmentoso, de tallos largos y flexibles y provistos de espinas curvadas, hojas aserradas
126	horticultor	Persona que tiene por oficio cultivar y cuidar una huerta.
127	despepitar	Quitar las pepitas o semillas a un fruto.
128	atribulado	leno de tribulaciones (penas, disgustos o aflicciones); compungido, apenado, triste.
129	meliflua	Que contiene miel o que tiene alguna de sus características.
132	bonhomía	Cualidad de la persona que es muy buena pero algo ingenua.
134	deus ex machina	Dios de la maquina
134	dechado	Muestra o modelo que se tiene presente para imitar.
135	incordiar	Causar una persona o una cosa molestias o fastidio este niño me incordia; los ruidos incordian.
136	lirismo	Expresión profunda e íntima de sentimientos y emociones, generalmente plasmados en el arte.
137	disquisición	Examen o explicación minuciosa, detallada y rigurosa sobre una materia, especialmente si se aparta del tema principal del que se está tratando.
139	lamprea	Pez marino de cuerpo muy largo, cilíndrico y sin escamas
141	adusto	Que es excesivamente rígido, áspero y desapacible en el trato.
141	progenie	Ascendencia familiar de una persona.
142	idílica	Que es utópico o excesivamente idealizado.
144	bolcheviques	Los bolcheviques eran un grupo político radicalizado dentro del Partido Obrero Socialdemócrata de Rusia, dirigido desde un principio por Vladímir Ilich Uliánov,
